episode_id,failure_mode,service,elapsed_s,timestamp,span_id,parent_span_id,span_name,db_operation_type,span_duration_ms,span_status,peer_service,service_version,trace_id
live_ep_000018_NONE,NONE,auth-service,0.0,1785949724.7593718,4b4d8bee0f954ca99865ce78a48f06d4,,GET /api/order,,138.86,OK,auth-service,v2.0.1,b0625289393d4ba3b4c7555eb7fd55af
live_ep_000018_NONE,NONE,auth-service,0.0,1785949724.7593718,21b5abd59bba44bd86ed28a163efc396,4b4d8bee0f954ca99865ce78a48f06d4,db.query.delete,WRITE,15.98,OK,user-db,v2.0.1,b0625289393d4ba3b4c7555eb7fd55af
live_ep_000018_NONE,NONE,auth-service,0.0,1785949724.7593718,e5308b7f81e5449eb4a1b0b7c8a6e8f6,4b4d8bee0f954ca99865ce78a48f06d4,db.query.select,READ,15.96,OK,user-db,v2.0.1,b0625289393d4ba3b4c7555eb7fd55af
live_ep_000018_NONE,NONE,auth-service,0.0,1785949724.7593718,b0f7f4a041154294988a65ab9079ceed,4b4d8bee0f954ca99865ce78a48f06d4,cache.get,,0.72,OK,cache-cluster,v2.0.1,b0625289393d4ba3b4c7555eb7fd55af
live_ep_000018_NONE,NONE,auth-service,0.0,1785949724.7593718,c8c4b61bd8e54917b16fa7b9472565e6,4b4d8bee0f954ca99865ce78a48f06d4,grpc.call,,30.86,OK,payment-gateway,v2.0.1,b0625289393d4ba3b4c7555eb7fd55af
live_ep_000018_NONE,NONE,auth-service,0.5,1785949725.259624,e73446ff076f4a5087319a4569c809af,,PUT /api/inventory,,140.01,OK,auth-service,v2.0.1,321090c3f15745909b7533280c6271ca
live_ep_000018_NONE,NONE,auth-service,0.5,1785949725.259624,c7059e22010e48ceb5fe8c40c76ae5cb,e73446ff076f4a5087319a4569c809af,db.query.select,READ,27.9,OK,user-db,v2.0.1,321090c3f15745909b7533280c6271ca
live_ep_000018_NONE,NONE,auth-service,0.5,1785949725.259624,0bcc2f259cec4d8090f12ebc368f3e6d,e73446ff076f4a5087319a4569c809af,db.query.update,READ,26.95,OK,user-db,v2.0.1,321090c3f15745909b7533280c6271ca
live_ep_000018_NONE,NONE,auth-service,0.5,1785949725.259624,8cc50060095649af9187c9458bba9324,e73446ff076f4a5087319a4569c809af,cache.get,,2.69,OK,cache-cluster,v2.0.1,321090c3f15745909b7533280c6271ca
live_ep_000018_NONE,NONE,auth-service,1.0,1785949725.7598822,89d4f1bb8f5045a3a7466c1fdee76f80,,PUT /api/inventory,,116.32,OK,auth-service,v2.0.1,9a8bbf79b2d7486399a208ad2283ec4f
live_ep_000018_NONE,NONE,auth-service,1.0,1785949725.7598822,251235bda69f44c194156374e8d4a646,89d4f1bb8f5045a3a7466c1fdee76f80,db.query.delete,READ,12.46,OK,user-db,v2.0.1,9a8bbf79b2d7486399a208ad2283ec4f
live_ep_000018_NONE,NONE,auth-service,1.0,1785949725.7598822,cb593683c9a046e0829eadd2ebbe4474,89d4f1bb8f5045a3a7466c1fdee76f80,db.query.insert,READ,32.88,OK,user-db,v2.0.1,9a8bbf79b2d7486399a208ad2283ec4f
live_ep_000018_NONE,NONE,auth-service,1.0,1785949725.7598822,6e7d06c754b5436c9e3899d1e64c739a,89d4f1bb8f5045a3a7466c1fdee76f80,http.client.get,,18.67,OK,inventory-api,v2.0.1,9a8bbf79b2d7486399a208ad2283ec4f
live_ep_000018_NONE,NONE,auth-service,1.5,1785949726.2602844,2fc41f0287274e958c5a411f8995e7c5,,PUT /api/inventory,,130.04,OK,auth-service,v2.0.1,61b95ff1a600429e9bef86c8fb0b99d3
live_ep_000018_NONE,NONE,auth-service,1.5,1785949726.2602844,4f16a11a45604ac7877da630221ae8e9,2fc41f0287274e958c5a411f8995e7c5,db.query.delete,WRITE,13.51,OK,user-db,v2.0.1,61b95ff1a600429e9bef86c8fb0b99d3
live_ep_000018_NONE,NONE,auth-service,1.5,1785949726.2602844,fd8888f1179242abaf224a88338f467a,2fc41f0287274e958c5a411f8995e7c5,db.transaction,WRITE,21.3,OK,user-db,v2.0.1,61b95ff1a600429e9bef86c8fb0b99d3
live_ep_000018_NONE,NONE,auth-service,1.5,1785949726.2602844,952b45d4b3ea4999b3c634c521a8a841,2fc41f0287274e958c5a411f8995e7c5,cache.get,,2.42,OK,cache-cluster,v2.0.1,61b95ff1a600429e9bef86c8fb0b99d3
live_ep_000018_NONE,NONE,auth-service,2.0,1785949726.7605596,bc9f3f33615743deac0664b3a195d5f3,,POST /api/checkout,,107.61,OK,auth-service,v2.0.1,12df6724dc4d4237baacdb790e83dc1e
live_ep_000018_NONE,NONE,auth-service,2.0,1785949726.7605596,1f4422b37eba4505a9b04ef257a9fc4d,bc9f3f33615743deac0664b3a195d5f3,db.query.delete,READ,12.02,OK,user-db,v2.0.1,12df6724dc4d4237baacdb790e83dc1e
live_ep_000018_NONE,NONE,auth-service,2.5,1785949727.2607672,eb231193078a43c680c7b72d67741e18,,POST /api/checkout,,127.9,OK,auth-service,v2.0.1,7fb1763e84174f2086b7c8d12432656c
live_ep_000018_NONE,NONE,auth-service,2.5,1785949727.2607672,1c929259670e4780bd20f66166e6852c,eb231193078a43c680c7b72d67741e18,db.transaction,WRITE,22.24,OK,user-db,v2.0.1,7fb1763e84174f2086b7c8d12432656c
live_ep_000018_NONE,NONE,auth-service,2.5,1785949727.2607672,93e448a187664618a51a70061a973552,eb231193078a43c680c7b72d67741e18,db.query.select,READ,21.85,OK,user-db,v2.0.1,7fb1763e84174f2086b7c8d12432656c
live_ep_000018_NONE,NONE,auth-service,2.5,1785949727.2607672,f23d27992bfa4eeeb1d4e9cfba165ae5,eb231193078a43c680c7b72d67741e18,cache.get,,0.5,OK,cache-cluster,v2.0.1,7fb1763e84174f2086b7c8d12432656c
live_ep_000018_NONE,NONE,auth-service,2.5,1785949727.2607672,e20f3137ce12424bafaf4b8288e1d51a,eb231193078a43c680c7b72d67741e18,http.client.get,,48.34,OK,payment-gateway,v2.0.1,7fb1763e84174f2086b7c8d12432656c
live_ep_000018_NONE,NONE,auth-service,3.0,1785949727.7615976,b066119ab550454c8dabf0b7853cbfc1,,GET /api/health,,123.92,OK,auth-service,v2.0.1,3707ee4680674a4a966e46d541a06462
live_ep_000018_NONE,NONE,auth-service,3.0,1785949727.7615976,ea6cc03b381b4d75b5391867fe0e0bb4,b066119ab550454c8dabf0b7853cbfc1,db.query.select,READ,12.52,OK,user-db,v2.0.1,3707ee4680674a4a966e46d541a06462
live_ep_000018_NONE,NONE,auth-service,3.0,1785949727.7615976,d85f4137dd604b7cb065548511e432d9,b066119ab550454c8dabf0b7853cbfc1,db.query.delete,READ,11.86,OK,user-db,v2.0.1,3707ee4680674a4a966e46d541a06462
live_ep_000018_NONE,NONE,auth-service,3.0,1785949727.7615976,139a66998bb946418a9021f5c3081b70,b066119ab550454c8dabf0b7853cbfc1,cache.delete,,1.61,OK,cache-cluster,v2.0.1,3707ee4680674a4a966e46d541a06462
live_ep_000018_NONE,NONE,auth-service,3.5,1785949728.2621102,a118acbb892c4788a848403b6a75b307,,POST /api/payment,,129.32,OK,auth-service,v2.0.1,e9ee5b37de9846ed9ff2c3a0022623e5
live_ep_000018_NONE,NONE,auth-service,3.5,1785949728.2621102,2fcc6a820f524984bfc9ff6ec8b07cc5,a118acbb892c4788a848403b6a75b307,db.query.select,READ,27.28,OK,user-db,v2.0.1,e9ee5b37de9846ed9ff2c3a0022623e5
live_ep_000018_NONE,NONE,auth-service,3.5,1785949728.2621102,4cf3348ef4bb4ff7bb46f671575a3c38,a118acbb892c4788a848403b6a75b307,cache.get,,2.26,OK,cache-cluster,v2.0.1,e9ee5b37de9846ed9ff2c3a0022623e5
live_ep_000018_NONE,NONE,auth-service,4.0,1785949728.7623436,0939777a029d43ab8d0346df3b7313c3,,GET /api/health,,120.06,OK,auth-service,v2.0.1,e1f020390d5b4803ab4ef6ff4ad16dd0
live_ep_000018_NONE,NONE,auth-service,4.0,1785949728.7623436,7195545cbf724627bf99d9fb6c233f31,0939777a029d43ab8d0346df3b7313c3,db.query.update,READ,15.5,OK,user-db,v2.0.1,e1f020390d5b4803ab4ef6ff4ad16dd0
live_ep_000018_NONE,NONE,auth-service,4.5,1785949729.2626483,fa632d67c66343beb07d0be086402d27,,POST /api/checkout,,118.12,OK,auth-service,v2.0.1,60bc27d570564155b8f7a1e389700b7b
live_ep_000018_NONE,NONE,auth-service,4.5,1785949729.2626483,6cef0d5dab28448595a1252bba2f7bc1,fa632d67c66343beb07d0be086402d27,db.query.delete,READ,10.24,OK,user-db,v2.0.1,60bc27d570564155b8f7a1e389700b7b
live_ep_000018_NONE,NONE,auth-service,4.5,1785949729.2626483,d71ad872aba94568b33c7383c11103d1,fa632d67c66343beb07d0be086402d27,cache.delete,,2.82,OK,cache-cluster,v2.0.1,60bc27d570564155b8f7a1e389700b7b
live_ep_000018_NONE,NONE,auth-service,5.0,1785949729.7631512,a7682d1b7eed47b4b678f790a46ca86a,,POST /api/checkout,,161.17,OK,auth-service,v2.0.1,f0f5a683426e49e08b182d2e3ae277d8
live_ep_000018_NONE,NONE,auth-service,5.0,1785949729.7631512,02e4fe88120a46d38c23d1d7a85bc5d3,a7682d1b7eed47b4b678f790a46ca86a,db.transaction,READ,4.36,OK,user-db,v2.0.1,f0f5a683426e49e08b182d2e3ae277d8
live_ep_000018_NONE,NONE,auth-service,5.0,1785949729.7631512,2e93a511a00a497a943eccf32daa174f,a7682d1b7eed47b4b678f790a46ca86a,db.query.update,READ,16.53,OK,user-db,v2.0.1,f0f5a683426e49e08b182d2e3ae277d8
live_ep_000018_NONE,NONE,auth-service,5.0,1785949729.7631512,b50fec168588420ab3b3b31b39de4f48,a7682d1b7eed47b4b678f790a46ca86a,cache.delete,,0.5,OK,cache-cluster,v2.0.1,f0f5a683426e49e08b182d2e3ae277d8
live_ep_000018_NONE,NONE,auth-service,5.5,1785949730.26337,5d6924ed7a9e4deaacbc7e38d1455cf4,,GET /api/order,,142.94,OK,auth-service,v2.0.1,f7fba0680a4041d5aa975dc4a37edcb5
live_ep_000018_NONE,NONE,auth-service,5.5,1785949730.26337,be6641e369b5412ba93c32a358e26570,5d6924ed7a9e4deaacbc7e38d1455cf4,db.transaction,WRITE,31.2,OK,user-db,v2.0.1,f7fba0680a4041d5aa975dc4a37edcb5
live_ep_000018_NONE,NONE,auth-service,5.5,1785949730.26337,23627153386c4687a7da33dcab8bd5c2,5d6924ed7a9e4deaacbc7e38d1455cf4,cache.set,,0.5,OK,cache-cluster,v2.0.1,f7fba0680a4041d5aa975dc4a37edcb5
live_ep_000018_NONE,NONE,auth-service,6.0,1785949730.7637134,d5469ed4e0e44cc996b2b1a5df94f9a2,,GET /api/order,,116.19,OK,auth-service,v2.0.1,20c513ad9c42494db24aa73ebb0f673b
live_ep_000018_NONE,NONE,auth-service,6.0,1785949730.7637134,61896ea27e4149fe8f50a30c595b7f21,d5469ed4e0e44cc996b2b1a5df94f9a2,db.query.update,READ,15.1,OK,user-db,v2.0.1,20c513ad9c42494db24aa73ebb0f673b
live_ep_000018_NONE,NONE,auth-service,6.0,1785949730.7637134,802cde5588f544f5a86ce77245594b05,d5469ed4e0e44cc996b2b1a5df94f9a2,db.query.delete,READ,21.13,OK,user-db,v2.0.1,20c513ad9c42494db24aa73ebb0f673b
live_ep_000018_NONE,NONE,auth-service,6.0,1785949730.7637134,c9e3a14c119c43a9b838ea5d5a40d3ce,d5469ed4e0e44cc996b2b1a5df94f9a2,cache.delete,,2.93,OK,cache-cluster,v2.0.1,20c513ad9c42494db24aa73ebb0f673b
live_ep_000018_NONE,NONE,auth-service,6.0,1785949730.7637134,4120474ca5d54cef91e912073214004e,d5469ed4e0e44cc996b2b1a5df94f9a2,grpc.call,,28.1,OK,payment-gateway,v2.0.1,20c513ad9c42494db24aa73ebb0f673b
live_ep_000018_NONE,NONE,auth-service,6.5,1785949731.2640245,77e85599751d420aae80d0b9c16ce117,,POST /api/checkout,,106.56,OK,auth-service,v2.0.1,5463f4f6e10e47c3875daa3f98e34b8e
live_ep_000018_NONE,NONE,auth-service,6.5,1785949731.2640245,c96f3253d0554d4c9d6a8ee12d7212c1,77e85599751d420aae80d0b9c16ce117,db.query.select,READ,25.63,OK,user-db,v2.0.1,5463f4f6e10e47c3875daa3f98e34b8e
live_ep_000018_NONE,NONE,auth-service,6.5,1785949731.2640245,5301af634e774316880dfb569c226b19,77e85599751d420aae80d0b9c16ce117,db.query.update,WRITE,34.77,OK,user-db,v2.0.1,5463f4f6e10e47c3875daa3f98e34b8e
live_ep_000018_NONE,NONE,auth-service,6.5,1785949731.2640245,d46a6618c1094930b9d72cc3fb486e86,77e85599751d420aae80d0b9c16ce117,cache.get,,1.02,OK,cache-cluster,v2.0.1,5463f4f6e10e47c3875daa3f98e34b8e
live_ep_000018_NONE,NONE,auth-service,7.0,1785949731.7641375,a8d2b4cc632c49af9f67c4c562d2547c,,PUT /api/inventory,,130.02,OK,auth-service,v2.0.1,74bc688628cd4dbc8ec852cdee47bb77
live_ep_000018_NONE,NONE,auth-service,7.0,1785949731.7641375,a6df6534e80140188f6314ff0dd6e152,a8d2b4cc632c49af9f67c4c562d2547c,db.query.delete,READ,14.76,OK,user-db,v2.0.1,74bc688628cd4dbc8ec852cdee47bb77
live_ep_000018_NONE,NONE,auth-service,7.0,1785949731.7641375,8006fc2367e445228f6445a2d8124321,a8d2b4cc632c49af9f67c4c562d2547c,db.query.select,WRITE,24.58,OK,user-db,v2.0.1,74bc688628cd4dbc8ec852cdee47bb77
live_ep_000018_NONE,NONE,auth-service,7.0,1785949731.7641375,600fadfc307445fcbcdb85bb62491c40,a8d2b4cc632c49af9f67c4c562d2547c,cache.set,,2.5,OK,cache-cluster,v2.0.1,74bc688628cd4dbc8ec852cdee47bb77
live_ep_000018_NONE,NONE,auth-service,7.5,1785949732.26426,01a4e284591640fb8ade763b1eaf0799,,PUT /api/inventory,,134.49,OK,auth-service,v2.0.1,509017601f7449158bf3f84b6322ca05
live_ep_000018_NONE,NONE,auth-service,7.5,1785949732.26426,2a13e417cc78401aba6b19c1811f62fb,01a4e284591640fb8ade763b1eaf0799,db.query.insert,READ,21.75,OK,user-db,v2.0.1,509017601f7449158bf3f84b6322ca05
live_ep_000018_NONE,NONE,auth-service,8.0,1785949732.7644832,61d9421110ed4135a60573a241b41c24,,GET /api/order,,128.36,OK,auth-service,v2.0.1,af9bbda049b44f46a453bce08e3748b7
live_ep_000018_NONE,NONE,auth-service,8.0,1785949732.7644832,81d9770f28914e049a4b1c4638009648,61d9421110ed4135a60573a241b41c24,db.query.update,READ,6.87,OK,user-db,v2.0.1,af9bbda049b44f46a453bce08e3748b7
live_ep_000018_NONE,NONE,auth-service,8.0,1785949732.7644832,48d307c2cdd64d209df1dc9d99e855ed,61d9421110ed4135a60573a241b41c24,db.query.insert,WRITE,22.3,OK,user-db,v2.0.1,af9bbda049b44f46a453bce08e3748b7
live_ep_000018_NONE,NONE,auth-service,8.0,1785949732.7644832,e250a55fc3604fcb8a598c64199ed88a,61d9421110ed4135a60573a241b41c24,cache.delete,,1.82,OK,cache-cluster,v2.0.1,af9bbda049b44f46a453bce08e3748b7
live_ep_000018_NONE,NONE,auth-service,8.5,1785949733.2646003,8028a918b8874837a3444f6f447bb413,,POST /api/payment,,72.8,OK,auth-service,v2.0.1,02fffa1b03ab4289a5776d3be1ed9e91
live_ep_000018_NONE,NONE,auth-service,8.5,1785949733.2646003,0d27e5557ec444408ed4c54dc0eaf440,8028a918b8874837a3444f6f447bb413,db.query.delete,READ,12.01,OK,user-db,v2.0.1,02fffa1b03ab4289a5776d3be1ed9e91
live_ep_000018_NONE,NONE,auth-service,8.5,1785949733.2646003,3e972ae5ce124771a18025f4a85c5e67,8028a918b8874837a3444f6f447bb413,db.query.select,READ,20.23,OK,user-db,v2.0.1,02fffa1b03ab4289a5776d3be1ed9e91
live_ep_000018_NONE,NONE,auth-service,8.5,1785949733.2646003,8969c6866c214706929f8aaeef479a4d,8028a918b8874837a3444f6f447bb413,cache.set,,2.39,OK,cache-cluster,v2.0.1,02fffa1b03ab4289a5776d3be1ed9e91
live_ep_000018_NONE,NONE,auth-service,9.0,1785949733.7650607,aa23dbdfe3bc432a903434e5c8752c0a,,GET /api/health,,107.69,OK,auth-service,v2.0.1,0d7c4777ff2f4dd6b3063d2473bd36c1
live_ep_000018_NONE,NONE,auth-service,9.0,1785949733.7650607,ab156e5b0d6842909e11d76ad44c4c40,aa23dbdfe3bc432a903434e5c8752c0a,db.query.select,READ,17.18,OK,user-db,v2.0.1,0d7c4777ff2f4dd6b3063d2473bd36c1
live_ep_000018_NONE,NONE,auth-service,9.0,1785949733.7650607,fc5a2797f52943408dc892bb7b98147b,aa23dbdfe3bc432a903434e5c8752c0a,db.query.update,WRITE,27.3,OK,user-db,v2.0.1,0d7c4777ff2f4dd6b3063d2473bd36c1
