episode_id,failure_mode,service,source,elapsed_s,timestamp,active_connections,cache_hit_rate,cache_miss_rate,circuit_breaker_state,cpu_saturation,cpu_utilization,db_connection_pool,db_connection_wait,db_p99,disk_read_latency,disk_write_latency,error_rate,gc_pause_p99,heap_mb,http_4xx_rate,http_5xx_rate,iops_utilization,memory_utilization,network_errors,p50_latency,p95_latency,p99_latency,queue_lag,retry_count_per_request,rps,thread_pool_queue,upstream_timeout_rate
live_ep_000025_NONE,NONE,payment-service,python-simulator,0.0,1785951936.789998,27,0.99,0.01,closed,0.2928,29.28,0.4144,4.2,17.08,5.84,6.76,0.0063,4.19,523.0,0.0022,0.0006,0.2937,0.288,3,106.26,126.79,138.5,0,0.0043,238.61,10,0.0024
live_ep_000025_NONE,NONE,payment-service,python-simulator,0.5,1785951937.290511,22,0.88,0.12,closed,0.3644,36.44,0.4177,2.48,23.8,4.13,10.86,0.0041,6.42,486.2,0.0019,0.0007,0.2341,0.244,3,82.51,113.49,128.67,19,0.0202,208.66,13,0.0006
live_ep_000025_NONE,NONE,payment-service,python-simulator,1.0,1785951937.7906275,43,0.99,0.01,closed,0.3524,35.24,0.3119,0.63,16.24,5.77,14.22,0.0042,48.8,471.1,0.0118,0.0046,0.1998,0.2554,4,87.41,112.52,150.22,1,0.0017,170.31,9,0.0078
live_ep_000025_NONE,NONE,payment-service,python-simulator,1.5,1785951938.291005,46,0.99,0.01,closed,0.3199,31.99,0.3862,1.72,24.05,3.81,8.25,0.0141,14.44,493.9,0.0016,0.0005,0.2239,0.2044,1,82.87,97.33,117.06,14,0.0006,193.82,0,0.0051
live_ep_000025_NONE,NONE,payment-service,python-simulator,2.0,1785951938.7913184,81,0.963,0.037,closed,0.3578,35.78,0.3436,2.59,26.48,3.5,3.29,0.0078,12.36,507.8,0.0034,0.0021,0.2136,0.2934,1,100.2,102.62,128.37,18,0.0108,175.68,8,0.0129
live_ep_000025_NONE,NONE,payment-service,python-simulator,2.5,1785951939.291834,108,0.8969,0.1031,closed,0.3602,36.02,0.4419,10.24,16.42,4.33,6.76,0.0046,15.71,534.7,0.0012,0.0103,0.2427,0.2155,4,93.78,130.7,130.71,17,0.0156,189.0,2,0.0015
live_ep_000025_NONE,NONE,payment-service,python-simulator,3.0,1785951939.7922099,91,0.9606,0.0394,closed,0.3085,30.85,0.3641,1.52,26.92,3.48,3.51,0.006,5.22,479.2,0.0038,0.0006,0.2735,0.2034,4,90.87,97.65,108.22,2,0.0256,183.57,9,0.0004
live_ep_000025_NONE,NONE,payment-service,python-simulator,3.5,1785951940.2927134,98,0.99,0.01,closed,0.2881,28.81,0.4518,2.86,23.52,7.39,3.99,0.0126,25.4,504.6,0.0042,0.0025,0.2725,0.2501,1,104.51,105.4,106.99,17,0.0138,186.56,3,0.0008
live_ep_000025_NONE,NONE,payment-service,python-simulator,4.0,1785951940.7932956,52,0.9807,0.0193,closed,0.3174,31.74,0.335,0.63,15.3,3.04,4.28,0.0169,13.1,491.7,0.0014,0.0016,0.2668,0.2482,4,84.29,120.39,129.92,3,0.0118,181.97,13,0.0016
live_ep_000025_NONE,NONE,payment-service,python-simulator,4.5,1785951941.2938223,35,0.919,0.081,closed,0.3365,33.65,0.3228,5.22,22.16,3.93,5.9,0.0391,2.0,497.1,0.0017,0.0016,0.2435,0.2466,1,89.8,92.62,97.98,14,0.0302,212.07,3,0.0036
