episode_id,failure_mode,service,source,elapsed_s,timestamp,active_connections,cache_hit_rate,cache_miss_rate,circuit_breaker_state,cpu_saturation,cpu_utilization,db_connection_pool,db_connection_wait,db_p99,disk_read_latency,disk_write_latency,error_rate,gc_pause_p99,heap_mb,http_4xx_rate,http_5xx_rate,iops_utilization,memory_utilization,network_errors,p50_latency,p95_latency,p99_latency,queue_lag,retry_count_per_request,rps,thread_pool_queue,upstream_timeout_rate
live_ep_000007_NONE,NONE,inventory-service,python-simulator,0.0,1785923635.4663424,87,0.9767,0.0233,closed,0.3138,31.38,0.286,13.54,17.67,3.89,3.85,0.0071,2.0,516.7,0.0228,0.0016,0.238,0.2325,1,109.24,106.66,103.63,5,0.0127,173.32,7,0.0209
live_ep_000007_NONE,NONE,inventory-service,python-simulator,0.5,1785923635.9665973,47,0.99,0.01,closed,0.3018,30.18,0.1485,4.53,22.19,4.31,4.17,0.0098,4.55,549.4,0.0009,0.0056,0.291,0.3049,0,94.91,95.39,96.27,0,0.0329,232.02,6,0.0066
live_ep_000007_NONE,NONE,inventory-service,python-simulator,1.0,1785923636.4667187,96,0.9868,0.0132,closed,0.3661,36.61,0.4134,8.76,11.94,7.99,7.7,0.0062,3.86,536.8,0.0019,0.0052,0.2128,0.2429,3,90.04,98.62,103.54,17,0.0271,219.89,0,0.0001
live_ep_000007_NONE,NONE,inventory-service,python-simulator,1.5,1785923636.9671438,118,0.9886,0.0114,closed,0.3007,30.07,0.3397,0.84,19.87,9.11,10.95,0.0194,19.52,479.8,0.0071,0.005,0.1929,0.2533,3,85.24,110.94,142.19,15,0.0744,199.26,10,0.0026
live_ep_000007_NONE,NONE,inventory-service,python-simulator,2.0,1785923637.467841,119,0.893,0.107,closed,0.2711,27.11,0.4301,0.5,22.75,4.07,2.88,0.0057,2.19,517.2,0.0108,0.0069,0.3418,0.2615,3,84.45,87.67,90.88,14,0.006,210.8,7,0.019
live_ep_000007_NONE,NONE,inventory-service,python-simulator,2.5,1785923637.9680662,53,0.9761,0.0239,closed,0.3634,36.34,0.3565,8.99,25.76,3.04,6.38,0.0047,2.0,482.3,0.0058,0.0001,0.2539,0.2491,0,93.96,105.16,112.71,7,0.0115,204.78,3,0.0069
live_ep_000007_NONE,NONE,inventory-service,python-simulator,3.0,1785923638.4686592,84,0.9803,0.0197,closed,0.33,33.0,0.3744,0.61,25.29,6.61,21.38,0.0092,5.77,471.9,0.0084,0.0002,0.3111,0.2494,4,85.6,102.04,115.44,19,0.0024,187.32,5,0.0068
live_ep_000007_NONE,NONE,inventory-service,python-simulator,3.5,1785923638.9688985,73,0.9847,0.0153,closed,0.3962,39.62,0.377,2.2,13.29,5.12,5.23,0.0034,11.49,507.9,0.0005,0.0016,0.2749,0.2194,2,87.17,112.91,137.91,13,0.0147,198.71,6,0.0067
live_ep_000007_NONE,NONE,inventory-service,python-simulator,4.0,1785923639.4694428,77,0.88,0.12,closed,0.3064,30.64,0.4137,0.65,19.01,5.88,3.23,0.0157,2.37,498.9,0.0132,0.0021,0.2647,0.2541,2,94.03,114.42,118.39,17,0.0296,184.24,9,0.0077
live_ep_000007_NONE,NONE,inventory-service,python-simulator,4.5,1785923639.969809,48,0.88,0.12,closed,0.2617,26.17,0.2404,6.68,26.63,5.42,7.86,0.0057,34.5,524.5,0.0031,0.004,0.2753,0.3084,4,96.55,113.42,115.09,2,0.017,194.05,12,0.005
