episode_id,failure_mode,service,source,elapsed_s,timestamp,active_connections,cache_hit_rate,cache_miss_rate,circuit_breaker_state,cpu_saturation,cpu_utilization,db_connection_pool,db_connection_wait,db_p99,disk_read_latency,disk_write_latency,error_rate,gc_pause_p99,heap_mb,http_4xx_rate,http_5xx_rate,iops_utilization,memory_utilization,network_errors,p50_latency,p95_latency,p99_latency,queue_lag,retry_count_per_request,rps,thread_pool_queue,upstream_timeout_rate
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,0.0,1785924014.912229,104,0.99,0.01,closed,0.3608,36.08,0.2439,15.03,23.28,5.75,9.29,0.0095,4.65,510.7,0.0032,0.0104,0.2391,0.2209,1,93.39,97.24,112.11,17,0.0645,196.2,11,0.001
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,0.5,1785924015.4126217,75,0.927,0.073,closed,0.3691,36.91,0.4149,0.5,23.1,4.98,16.96,0.0093,6.48,527.4,0.0081,0.0004,0.2407,0.2394,1,96.91,97.07,122.55,0,0.0089,223.44,13,0.013
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,1.0,1785924015.912745,36,0.88,0.12,closed,0.3162,31.62,0.2965,2.5,22.59,3.71,4.56,0.0081,4.18,524.8,0.004,0.0004,0.1785,0.2099,0,80.0,82.41,125.29,10,0.0434,163.4,20,0.003
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,1.5,1785924016.4131968,111,0.9747,0.0253,closed,0.3898,38.98,0.2352,3.3,28.88,3.2,6.42,0.0499,2.0,509.9,0.0008,0.0043,0.308,0.2301,2,96.2,93.17,89.43,14,0.0043,176.46,28,0.0052
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,2.0,1785924016.9148204,48,0.938,0.062,closed,0.4401,44.01,0.364,7.8,22.61,2.38,9.94,0.0083,22.53,508.9,0.0009,0.0006,0.2499,0.2128,3,92.65,93.45,98.85,9,0.0027,192.84,18,0.0049
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,2.5,1785924017.4152877,70,0.9828,0.0172,closed,0.3538,35.38,0.3644,5.88,21.58,2.94,6.06,0.0229,33.19,540.2,0.0042,0.0021,0.1844,0.2689,2,96.52,109.71,117.05,14,0.0147,219.6,28,0.0048
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,3.0,1785924017.9155858,36,0.9048,0.0952,closed,0.2823,28.23,0.531,18.13,18.62,3.43,4.12,0.0052,10.47,543.1,0.0072,0.003,0.4321,0.2602,0,106.05,173.4,175.3,31,0.0133,190.24,62,0.0102
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,3.5,1785924018.4159095,56,0.9635,0.0365,closed,0.4667,46.67,0.3158,8.11,15.49,7.19,5.73,0.0024,17.03,532.5,0.0037,0.0023,0.1894,0.2615,1,96.25,149.27,151.53,27,0.0056,185.88,54,0.0076
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,4.0,1785924018.9161205,116,0.9762,0.0238,closed,0.3027,30.27,0.4185,6.94,26.64,3.94,5.45,0.0078,2.66,497.1,0.0006,0.0002,0.2309,0.2241,0,86.86,106.19,107.49,10,0.0059,187.66,20,0.0026
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,4.5,1785924019.4168644,124,0.9731,0.0269,closed,0.4066,40.66,0.4051,12.16,11.92,3.74,13.34,0.0105,2.0,566.2,0.0025,0.0007,0.3544,0.2864,1,102.56,109.27,109.97,20,0.0989,218.99,40,0.0034
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,5.0,1785924019.9173183,65,0.99,0.01,closed,0.3366,33.66,0.3354,8.18,12.9,3.85,8.04,0.0101,17.69,496.1,0.0011,0.0067,0.3112,0.2392,4,94.32,130.31,134.31,25,0.0076,194.96,50,0.0023
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,5.5,1785924020.4177985,82,0.9629,0.0371,closed,0.3041,30.41,0.3998,6.91,13.95,2.86,4.76,0.0054,20.6,496.5,0.0018,0.0044,0.2722,0.236,3,89.43,112.34,144.5,32,0.0047,190.02,64,0.0049
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,6.0,1785924020.9180741,85,0.8818,0.1182,closed,0.3576,35.76,0.2632,9.69,25.92,4.33,9.57,0.0026,16.39,525.5,0.0078,0.0032,0.243,0.2886,2,102.75,132.96,167.3,38,0.0161,188.94,76,0.0025
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,6.5,1785924021.4185758,40,0.9496,0.0504,closed,0.3459,34.59,0.2585,8.83,13.51,4.97,8.53,0.0209,2.0,501.1,0.0014,0.0007,0.2738,0.2478,1,87.7,119.57,134.3,13,0.0679,154.16,26,0.0011
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,7.0,1785924021.9188912,125,0.8863,0.1137,closed,0.3105,31.05,0.3236,5.89,18.57,5.63,2.6,0.0124,27.95,529.5,0.0066,0.0042,0.3288,0.2139,2,110.58,113.46,117.27,25,0.0039,201.25,50,0.0002
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,7.5,1785924022.4192326,80,0.9114,0.0886,closed,0.3314,33.14,0.3496,11.21,21.76,3.01,4.5,0.0179,10.15,504.9,0.0231,0.0007,0.2521,0.223,2,110.51,111.13,124.61,12,0.0558,176.85,24,0.0002
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,8.0,1785924022.919382,98,0.9853,0.0147,closed,0.3985,39.85,0.3442,7.25,30.52,6.27,6.69,0.0109,12.93,500.0,0.0045,0.0031,0.2706,0.2215,3,95.1,102.82,113.57,17,0.0104,193.75,34,0.0037
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,8.5,1785924023.4199374,40,0.88,0.12,closed,0.2466,24.66,0.395,4.9,20.94,3.58,3.67,0.015,57.23,500.3,0.0237,0.0046,0.3128,0.1832,0,86.78,110.87,125.8,22,0.0487,177.42,44,0.0004
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,9.0,1785924023.92031,33,0.9627,0.0373,closed,0.3527,35.27,0.327,6.59,21.83,6.41,9.18,0.0037,15.77,521.8,0.006,0.0017,0.2849,0.2447,3,104.15,99.44,97.26,15,0.0288,222.67,30,0.013
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,9.5,1785924024.4213917,119,0.9796,0.0204,closed,0.2577,25.77,0.3068,9.31,24.37,6.73,15.54,0.0028,16.75,525.6,0.0118,0.003,0.2148,0.2237,2,91.87,122.05,162.74,31,0.0809,221.1,62,0.0061
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,10.0,1785924024.9217167,54,0.9843,0.0157,closed,0.4049,40.49,0.3032,15.87,13.54,8.53,4.66,0.0079,7.38,516.6,0.0003,0.0054,0.3365,0.2322,4,89.7,95.39,118.11,21,0.0099,194.1,42,0.0049
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,10.5,1785924025.4218023,59,0.9174,0.0826,closed,0.3696,36.96,0.5169,9.26,32.05,5.75,2.34,0.0048,9.89,505.2,0.0179,0.0042,0.1771,0.2471,4,104.36,121.47,136.84,43,0.0179,196.41,86,0.0014
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,11.0,1785924025.9221802,55,0.9876,0.0124,closed,0.3402,34.02,0.2334,12.04,23.22,6.81,4.08,0.0165,12.66,549.9,0.0014,0.0017,0.2028,0.3202,0,105.96,121.03,133.44,46,0.09,189.85,92,0.0127
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,11.5,1785924026.42235,65,0.9322,0.0678,closed,0.2978,29.78,0.2375,11.17,10.44,6.14,3.32,0.0132,15.37,510.1,0.0027,0.0008,0.2898,0.2565,2,98.28,125.57,144.0,47,0.0316,211.77,94,0.0087
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,12.0,1785924026.9229426,38,0.9877,0.0123,closed,0.3712,37.12,0.3511,11.37,12.92,2.96,4.92,0.0111,22.43,502.0,0.0002,0.0005,0.2919,0.3098,0,103.7,152.5,152.75,33,0.0078,209.62,66,0.0019
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,12.5,1785924027.4230154,127,0.9718,0.0282,closed,0.377,37.7,0.3094,14.34,20.6,3.25,5.89,0.0043,17.38,503.8,0.0029,0.0002,0.1861,0.2722,3,94.37,122.94,145.8,44,0.1,200.35,88,0.0007
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,13.0,1785924027.9235363,51,0.9777,0.0223,closed,0.3358,33.58,0.2662,11.28,10.49,6.07,10.91,0.0112,18.13,522.7,0.0122,0.0005,0.1395,0.2412,0,96.44,132.01,150.89,43,0.0018,169.15,86,0.0093
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,13.5,1785924028.42405,44,0.9334,0.0666,closed,0.3386,33.86,0.4759,12.68,12.68,3.51,9.47,0.0211,2.13,456.1,0.0052,0.0055,0.2301,0.2654,1,97.89,133.83,163.24,45,0.0545,219.97,90,0.0143
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,14.0,1785924028.924736,42,0.925,0.075,closed,0.3215,32.15,0.1596,9.1,16.03,1.9,5.5,0.004,7.15,500.7,0.0005,0.0007,0.3042,0.2379,2,96.25,96.39,135.94,43,0.0407,218.63,86,0.0063
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,14.5,1785924029.425155,95,0.9721,0.0279,closed,0.3636,36.36,0.2278,21.47,29.29,6.9,6.53,0.0054,39.44,530.8,0.0089,0.0018,0.2849,0.2905,3,108.21,138.64,162.99,53,0.0847,163.24,106,0.0045
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,15.0,1785924029.9286456,126,0.9472,0.0528,closed,0.4017,40.17,0.3019,11.15,25.83,5.72,9.21,0.013,32.31,544.3,0.0098,0.0095,0.2944,0.3063,4,96.96,100.48,124.58,28,0.0616,207.42,56,0.0013
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,15.5,1785924030.429374,135,0.9889,0.0111,closed,0.3421,34.21,0.38,9.24,21.5,3.17,8.81,0.0082,39.38,504.9,0.0174,0.0002,0.2581,0.2276,4,89.8,99.94,122.75,43,0.011,205.87,86,0.0112
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,16.0,1785924030.9296308,69,0.9774,0.0226,closed,0.2796,27.96,0.4788,11.5,22.5,6.54,9.81,0.0009,2.0,515.0,0.0019,0.0002,0.1779,0.2381,1,114.94,128.9,138.72,55,0.1,221.15,110,0.0009
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,16.5,1785924031.431113,56,0.9592,0.0408,closed,0.4059,40.59,0.3248,14.51,16.2,2.25,3.73,0.0072,39.44,484.6,0.0051,0.0001,0.4112,0.2037,4,102.04,136.3,148.44,57,0.0022,205.8,114,0.0021
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,17.0,1785924031.9311965,95,0.9889,0.0111,closed,0.3364,33.64,0.3126,11.59,17.45,4.01,3.58,0.0063,2.0,509.2,0.0001,0.0026,0.1899,0.2103,2,101.49,160.32,166.05,42,0.0212,203.34,84,0.0018
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,17.5,1785924032.4315429,74,0.8971,0.1029,closed,0.3452,34.52,0.3115,7.5,23.85,3.71,6.5,0.007,15.4,505.6,0.002,0.0035,0.2053,0.2484,1,106.04,134.1,141.71,35,0.1,208.48,70,0.0035
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,18.0,1785924032.9321167,67,0.9227,0.0773,closed,0.266,26.6,0.338,11.61,16.57,6.17,5.55,0.0074,15.95,520.8,0.0041,0.0007,0.2676,0.2719,4,103.27,126.02,145.25,43,0.0565,162.5,86,0.0027
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,18.5,1785924033.432185,101,0.9867,0.0133,closed,0.4352,43.52,0.3953,19.26,17.6,6.95,6.82,0.0039,6.85,465.7,0.0085,0.0007,0.2402,0.1917,4,98.63,99.94,114.61,46,0.0333,195.5,92,0.0021
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,19.0,1785924033.9324193,43,0.9664,0.0336,closed,0.3181,31.81,0.3876,8.65,21.69,2.4,6.05,0.012,28.65,504.5,0.0031,0.0051,0.2378,0.2831,4,116.15,121.7,124.01,37,0.0491,217.71,74,0.0024
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,19.5,1785924034.4327598,134,0.99,0.01,closed,0.3716,37.16,0.5695,16.36,18.53,3.39,6.33,0.012,2.0,550.3,0.0017,0.0021,0.2573,0.2649,3,96.71,130.58,149.26,47,0.0795,199.44,94,0.001
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,20.0,1785924034.9332023,112,0.9734,0.0266,closed,0.3916,39.16,0.3921,16.09,24.25,2.73,5.59,0.011,7.99,524.2,0.0019,0.0016,0.33,0.285,2,110.23,158.91,186.75,50,0.0191,205.13,100,0.0001
live_ep_000009_QUEUE_BACKUP,QUEUE_BACKUP,auth-service,python-simulator,20.5,1785924035.4337924,66,0.99,0.01,closed,0.272,27.2,0.3805,20.23,16.39,3.38,7.69,0.0033,5.11,528.8,0.0019,0.0014,0.2034,0.3145,1,108.66,165.57,170.38,59,0.0754,210.39,118,0.0126
