episode_id,failure_mode,service,source,elapsed_s,timestamp,active_connections,cache_hit_rate,cache_miss_rate,circuit_breaker_state,cpu_saturation,cpu_utilization,db_connection_pool,db_connection_wait,db_p99,disk_read_latency,disk_write_latency,error_rate,gc_pause_p99,heap_mb,http_4xx_rate,http_5xx_rate,iops_utilization,memory_utilization,network_errors,p50_latency,p95_latency,p99_latency,queue_lag,retry_count_per_request,rps,thread_pool_queue,upstream_timeout_rate
live_ep_000040_NONE,NONE,order-service,python-simulator,0.0,1785987769.1526551,66,0.88,0.12,closed,0.3267,32.67,0.4622,1.73,16.36,5.93,9.62,0.008,5.72,506.1,0.0031,0.0042,0.1483,0.2407,4,84.9,111.44,129.71,19,0.0603,202.99,1,0.0003
live_ep_000040_NONE,NONE,order-service,python-simulator,0.1,1785987769.2527506,41,0.9497,0.0503,closed,0.3216,32.16,0.2811,0.5,21.1,3.32,8.73,0.0019,8.15,505.8,0.0021,0.0026,0.1933,0.2256,0,86.13,98.89,107.69,3,0.0082,211.34,4,0.0
live_ep_000040_NONE,NONE,order-service,python-simulator,0.2,1785987769.3530433,72,0.9136,0.0864,closed,0.2856,28.56,0.2733,0.5,18.77,3.82,5.15,0.0192,2.0,555.5,0.0015,0.0027,0.3161,0.3019,1,83.3,88.98,94.07,19,0.0017,217.24,10,0.0028
live_ep_000040_NONE,NONE,order-service,python-simulator,0.3,1785987769.4533412,40,0.923,0.077,closed,0.4052,40.52,0.481,2.25,21.91,3.64,6.14,0.011,3.1,524.5,0.0181,0.0053,0.2008,0.2566,0,97.58,102.25,117.36,1,0.0121,232.43,4,0.0021
live_ep_000040_NONE,NONE,order-service,python-simulator,0.4,1785987769.5535483,27,0.9871,0.0129,closed,0.4038,40.38,0.3371,0.5,13.95,5.8,8.5,0.0048,2.0,528.7,0.0028,0.0008,0.2365,0.2951,4,90.87,116.75,116.9,19,0.064,226.4,13,0.0082
live_ep_000040_NONE,NONE,order-service,python-simulator,0.5,1785987769.6537097,36,0.9568,0.0432,closed,0.3492,34.92,0.2906,7.17,24.35,1.54,11.21,0.01,5.43,525.2,0.0004,0.0003,0.2945,0.2856,4,91.59,126.63,130.71,8,0.0737,146.9,6,0.0131
live_ep_000040_NONE,NONE,order-service,python-simulator,0.6,1785987769.7540228,90,0.9119,0.0881,closed,0.2601,26.01,0.4495,9.17,17.32,3.51,6.38,0.0127,15.37,556.6,0.0001,0.0009,0.2402,0.2564,1,83.95,87.42,110.35,19,0.0328,188.4,12,0.0065
live_ep_000040_NONE,NONE,order-service,python-simulator,0.7,1785987769.8543556,118,0.99,0.01,closed,0.2933,29.33,0.3348,2.06,25.78,3.96,7.45,0.018,26.7,527.7,0.0099,0.0,0.2725,0.2688,1,94.26,94.42,122.13,19,0.0216,190.09,0,0.0047
live_ep_000040_NONE,NONE,order-service,python-simulator,0.8,1785987769.9546025,23,0.99,0.01,closed,0.3227,32.27,0.4497,3.85,17.06,5.47,7.56,0.0078,2.0,465.1,0.0005,0.0018,0.2525,0.1824,2,98.13,107.3,122.21,7,0.0303,227.12,0,0.0006
live_ep_000040_NONE,NONE,order-service,python-simulator,0.9,1785987770.0549426,106,0.9732,0.0268,closed,0.3894,38.94,0.3263,1.58,15.88,3.26,4.44,0.0065,49.09,536.8,0.0036,0.0047,0.2079,0.196,2,87.39,105.45,135.43,4,0.019,208.52,1,0.0001
live_ep_000040_NONE,NONE,order-service,python-simulator,1.0,1785987770.155212,108,0.9529,0.0471,closed,0.3413,34.13,0.3571,0.96,21.63,3.93,5.11,0.0011,3.8,508.5,0.0001,0.0002,0.1624,0.2611,2,84.74,92.81,132.44,8,0.0413,184.51,2,0.0022
live_ep_000040_NONE,NONE,order-service,python-simulator,1.1,1785987770.2554452,39,0.9835,0.0165,closed,0.2845,28.45,0.3834,4.85,23.63,2.68,7.99,0.0086,7.25,533.2,0.0003,0.001,0.3155,0.2679,4,92.13,108.46,124.35,19,0.0114,223.54,14,0.009
live_ep_000040_NONE,NONE,order-service,python-simulator,1.2,1785987770.3559158,49,0.9252,0.0748,closed,0.3926,39.26,0.4124,0.5,24.11,4.43,6.54,0.0076,12.06,492.2,0.0116,0.0012,0.2111,0.243,2,94.76,117.81,120.69,6,0.0132,191.25,1,0.0012
live_ep_000040_NONE,NONE,order-service,python-simulator,1.3,1785987770.4560673,107,0.924,0.076,closed,0.3349,33.49,0.4449,6.97,21.92,6.6,5.27,0.014,2.38,485.9,0.0013,0.0005,0.3136,0.1955,4,90.05,96.9,110.92,16,0.0444,184.74,11,0.0033
live_ep_000040_NONE,NONE,order-service,python-simulator,1.4,1785987770.5564332,34,0.9879,0.0121,closed,0.3399,33.99,0.1787,0.5,22.59,3.71,5.36,0.0151,6.53,509.7,0.0077,0.0014,0.1989,0.2348,1,93.47,101.98,111.99,5,0.0406,218.46,3,0.0004
live_ep_000040_NONE,NONE,order-service,python-simulator,1.5,1785987770.6570158,83,0.9856,0.0144,closed,0.423,42.3,0.3265,0.5,22.8,7.14,4.38,0.0175,3.91,540.2,0.0009,0.0005,0.2478,0.3258,3,76.04,77.44,135.28,9,0.0863,208.94,10,0.0108
live_ep_000040_NONE,NONE,order-service,python-simulator,1.6,1785987770.757176,57,0.9867,0.0133,closed,0.144,14.4,0.3886,2.65,15.89,4.09,7.76,0.0046,5.99,500.4,0.0056,0.0009,0.3014,0.2993,0,92.03,109.21,149.05,6,0.0174,168.45,8,0.0081
live_ep_000040_NONE,NONE,order-service,python-simulator,1.7,1785987770.857567,76,0.99,0.01,closed,0.3695,36.95,0.2325,0.5,27.05,8.46,8.87,0.0107,8.7,515.6,0.0024,0.0002,0.2027,0.2162,3,79.89,99.58,107.79,2,0.0346,213.56,5,0.0012
live_ep_000040_NONE,NONE,order-service,python-simulator,1.8,1785987770.957613,99,0.9726,0.0274,closed,0.3631,36.31,0.391,0.5,25.74,3.19,6.27,0.0058,37.19,488.1,0.0109,0.0003,0.2524,0.206,2,91.06,93.95,96.76,2,0.0453,151.34,1,0.0074
live_ep_000040_NONE,NONE,order-service,python-simulator,1.9,1785987771.057805,74,0.9834,0.0166,closed,0.357,35.7,0.3452,4.36,46.18,9.12,5.78,0.0119,2.32,501.8,0.0128,0.0024,0.2487,0.2831,0,88.46,125.87,127.28,4,0.1,193.45,7,0.0009
live_ep_000040_NONE,NONE,order-service,python-simulator,2.0,1785987771.1580257,39,0.99,0.01,closed,0.4029,40.29,0.3609,9.75,20.96,3.32,9.41,0.0092,22.04,525.8,0.0045,0.0035,0.2811,0.2733,3,87.98,105.59,143.28,13,0.0429,192.79,11,0.0022
live_ep_000040_NONE,NONE,order-service,python-simulator,2.1,1785987771.2582917,104,0.9862,0.0138,closed,0.412,41.2,0.3753,18.53,14.23,2.63,15.62,0.0077,14.4,531.5,0.0043,0.0008,0.2835,0.2676,1,77.49,116.37,118.04,0,0.034,210.72,2,0.0016
live_ep_000040_NONE,NONE,order-service,python-simulator,2.2,1785987771.3584423,115,0.99,0.01,closed,0.3806,38.06,0.4118,0.5,13.19,4.87,5.45,0.0114,26.69,516.9,0.0016,0.001,0.1528,0.3055,0,83.21,85.88,95.98,16,0.0225,208.22,13,0.0008
live_ep_000040_NONE,NONE,order-service,python-simulator,2.3,1785987771.4590378,34,0.9714,0.0286,closed,0.3693,36.93,0.301,5.65,15.94,2.82,4.4,0.0023,7.04,517.5,0.0095,0.0063,0.182,0.2119,0,77.33,108.32,122.35,3,0.0198,214.48,9,0.0077
live_ep_000040_NONE,NONE,order-service,python-simulator,2.4,1785987771.5595362,113,0.9321,0.0679,closed,0.3264,32.64,0.3877,1.14,16.9,4.85,9.92,0.0065,2.0,511.5,0.0004,0.0005,0.2163,0.2499,2,86.39,110.03,129.16,6,0.0104,217.91,11,0.0001
live_ep_000040_NONE,NONE,order-service,python-simulator,2.5,1785987771.659691,63,0.99,0.01,closed,0.4765,47.65,0.3161,8.2,13.33,4.54,8.48,0.0114,34.74,498.5,0.0014,0.0025,0.3217,0.2455,2,104.89,112.97,114.26,13,0.0033,222.51,2,0.0115
live_ep_000040_NONE,NONE,order-service,python-simulator,2.6,1785987771.7599263,35,0.9529,0.0471,closed,0.3492,34.92,0.2821,1.92,11.63,6.1,4.04,0.0074,8.61,541.2,0.0031,0.002,0.2969,0.2641,0,90.71,91.4,104.35,6,0.0039,241.57,5,0.0027
live_ep_000040_NONE,NONE,order-service,python-simulator,2.7,1785987771.8602211,45,0.9128,0.0872,closed,0.4033,40.33,0.2633,12.17,24.69,4.57,2.0,0.0171,9.5,488.4,0.0095,0.0031,0.2708,0.1906,2,95.97,99.19,126.23,6,0.0023,197.09,11,0.0158
live_ep_000040_NONE,NONE,order-service,python-simulator,2.8,1785987771.9605343,86,0.99,0.01,closed,0.4032,40.32,0.2765,3.55,24.59,3.58,7.52,0.0141,2.0,513.8,0.0036,0.0027,0.2594,0.2028,0,92.12,97.96,139.56,0,0.0574,179.92,6,0.0052
live_ep_000040_NONE,NONE,order-service,python-simulator,2.9,1785987772.0612085,109,0.88,0.12,closed,0.378,37.8,0.4374,0.88,17.12,3.82,5.03,0.007,4.13,535.0,0.0035,0.0033,0.1385,0.2423,0,93.77,103.11,111.78,10,0.0626,193.3,3,0.0047
live_ep_000040_NONE,NONE,order-service,python-simulator,3.0,1785987772.1613998,115,0.9397,0.0603,closed,0.3552,35.52,0.3647,5.61,30.42,5.11,6.93,0.006,3.66,509.0,0.0003,0.0014,0.1652,0.278,0,84.96,94.83,103.69,14,0.004,185.65,11,0.0076
live_ep_000040_NONE,NONE,order-service,python-simulator,3.1,1785987772.2615483,62,0.9463,0.0537,closed,0.4195,41.95,0.4124,1.82,25.28,3.35,5.01,0.0076,2.6,513.9,0.0032,0.0005,0.1668,0.2589,1,90.92,95.23,104.48,14,0.0596,174.49,8,0.0014
live_ep_000040_NONE,NONE,order-service,python-simulator,3.2,1785987772.361812,112,0.88,0.12,closed,0.3477,34.77,0.2071,5.23,25.07,6.21,3.42,0.0108,13.46,523.8,0.0013,0.0014,0.3202,0.2728,1,94.72,114.09,124.99,2,0.0146,214.26,3,0.0307
