episode_id,failure_mode,service,source,elapsed_s,timestamp,active_connections,cache_hit_rate,cache_miss_rate,circuit_breaker_state,cpu_saturation,cpu_utilization,db_connection_pool,db_connection_wait,db_p99,disk_read_latency,disk_write_latency,error_rate,gc_pause_p99,heap_mb,http_4xx_rate,http_5xx_rate,iops_utilization,memory_utilization,network_errors,p50_latency,p95_latency,p99_latency,queue_lag,retry_count_per_request,rps,thread_pool_queue,upstream_timeout_rate
live_ep_000013_BAD_DEPLOY,BAD_DEPLOY,inventory-service,python-simulator,0.0,1785925240.0532446,70,0.9045,0.0955,closed,0.3647,36.47,0.3522,0.5,20.04,5.81,9.76,0.0045,6.66,549.2,0.0089,0.0012,0.1833,0.2648,0,91.13,96.38,106.53,10,0.0337,164.4,5,0.0149
live_ep_000013_BAD_DEPLOY,BAD_DEPLOY,inventory-service,python-simulator,0.5,1785925240.5537093,28,0.9831,0.0169,closed,0.351,35.1,0.4054,1.32,27.51,2.48,6.59,0.0079,37.85,519.7,0.0051,0.0014,0.2321,0.2487,4,86.88,111.1,124.43,4,0.0047,212.89,13,0.0039
live_ep_000013_BAD_DEPLOY,BAD_DEPLOY,inventory-service,python-simulator,1.0,1785925241.0539067,75,0.969,0.031,closed,0.4124,41.24,0.3929,7.34,19.75,4.32,8.03,0.0129,12.57,510.8,0.005,0.0058,0.1274,0.2222,1,77.37,77.5,154.13,5,0.0631,182.8,13,0.0012
live_ep_000013_BAD_DEPLOY,BAD_DEPLOY,inventory-service,python-simulator,1.5,1785925241.5540376,55,0.99,0.01,closed,0.3233,32.33,0.3281,0.69,16.9,3.39,4.92,0.0025,11.48,503.2,0.0048,0.0009,0.2357,0.2895,3,83.34,89.42,96.18,17,0.0263,179.11,7,0.0004
live_ep_000013_BAD_DEPLOY,BAD_DEPLOY,inventory-service,python-simulator,2.0,1785925242.0541427,60,0.88,0.12,closed,0.3485,34.85,0.3575,2.57,10.48,4.24,3.65,0.0124,28.89,486.8,0.0015,0.0029,0.2921,0.2403,1,82.85,94.63,97.91,17,0.0527,224.08,11,0.0006
live_ep_000013_BAD_DEPLOY,BAD_DEPLOY,inventory-service,python-simulator,2.5,1785925242.5542428,88,0.9627,0.0373,closed,0.3138,31.38,0.4403,0.81,28.86,5.69,10.1,0.0063,49.12,496.6,0.0092,0.0026,0.202,0.2505,1,88.45,131.16,136.91,6,0.0283,203.94,1,0.0031
live_ep_000013_BAD_DEPLOY,BAD_DEPLOY,inventory-service,python-simulator,3.0,1785925243.054514,55,0.9381,0.0619,closed,0.4406,44.06,0.3684,5.87,14.41,2.64,7.22,0.0018,11.64,496.0,0.0036,0.002,0.1912,0.2513,3,91.59,104.5,122.69,14,0.0537,212.83,5,0.0007
live_ep_000013_BAD_DEPLOY,BAD_DEPLOY,inventory-service,python-simulator,3.5,1785925243.5550807,105,0.9068,0.0932,open,0.3795,37.95,0.2898,4.13,20.04,3.51,6.18,0.5755,4.65,521.9,0.2302,0.3453,0.2084,0.2888,12,94.69,148.28,156.35,18,0.2302,192.7,9,0.0066
live_ep_000013_BAD_DEPLOY,BAD_DEPLOY,inventory-service,python-simulator,4.0,1785925244.055562,84,0.9444,0.0556,open,0.3121,31.21,0.4626,3.34,19.4,6.07,14.19,0.5959,2.0,500.9,0.2384,0.3575,0.2836,0.2154,12,89.86,92.94,140.67,6,0.2384,194.89,4,0.0013
live_ep_000013_BAD_DEPLOY,BAD_DEPLOY,inventory-service,python-simulator,4.5,1785925244.556054,39,0.9799,0.0201,open,0.3003,30.03,0.433,2.08,22.62,3.44,12.82,0.6568,52.65,506.3,0.2627,0.3941,0.2619,0.2523,14,90.28,148.65,149.13,15,0.2627,218.66,8,0.0012
live_ep_000013_BAD_DEPLOY,BAD_DEPLOY,inventory-service,python-simulator,5.0,1785925245.0563898,76,0.983,0.017,open,0.276,27.6,0.613,2.82,26.61,3.25,6.86,0.644,12.74,534.9,0.2576,0.3864,0.1514,0.2625,15,89.92,118.53,127.19,11,0.2576,167.96,0,0.006
live_ep_000013_BAD_DEPLOY,BAD_DEPLOY,inventory-service,python-simulator,5.5,1785925245.5565412,117,0.9698,0.0302,open,0.4154,41.54,0.2501,6.49,12.58,3.34,6.24,0.5596,4.99,484.5,0.2238,0.3358,0.2853,0.1976,14,91.64,126.4,157.57,14,0.2238,196.44,13,0.014
live_ep_000013_BAD_DEPLOY,BAD_DEPLOY,inventory-service,python-simulator,6.0,1785925246.05714,48,0.981,0.019,open,0.4274,42.74,0.251,0.5,15.56,2.91,5.03,0.6748,23.82,539.7,0.2699,0.4049,0.2462,0.28,13,78.44,97.07,148.93,18,0.2699,192.84,9,0.0015
live_ep_000013_BAD_DEPLOY,BAD_DEPLOY,inventory-service,python-simulator,6.5,1785925246.55742,98,0.9764,0.0236,open,0.3617,36.17,0.3967,2.81,32.68,6.48,6.07,0.5338,46.65,486.3,0.2135,0.3203,0.3346,0.2202,13,85.55,121.84,146.77,13,0.2135,225.49,11,0.0001
live_ep_000013_BAD_DEPLOY,BAD_DEPLOY,inventory-service,python-simulator,7.0,1785925247.0577815,26,0.99,0.01,open,0.298,29.8,0.2346,0.56,30.33,5.4,6.66,0.6467,32.5,492.6,0.2587,0.388,0.1545,0.2821,12,83.29,125.84,139.74,1,0.2587,201.22,8,0.0018
live_ep_000013_BAD_DEPLOY,BAD_DEPLOY,inventory-service,python-simulator,7.5,1785925247.5580611,113,0.9774,0.0226,open,0.3223,32.23,0.3539,18.77,24.82,5.02,8.71,0.6802,26.26,518.3,0.2721,0.4081,0.2422,0.2333,13,81.24,111.01,112.38,18,0.2721,201.3,9,0.0103
