episode_id,failure_mode,service,elapsed_s,timestamp,log_level,exception_type,log_message
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,0.0,1785987808.048335,WARNING,,WARN db_p99=20ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,0.5,1785987808.548435,WARNING,,WARN db_p99=20ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,1.0,1785987809.0489514,WARNING,,WARN db_p99=28ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,1.5,1785987809.549243,WARNING,,WARN db_p99=20ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,2.0,1785987810.0497005,WARNING,,WARN db_p99=20ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,2.5,1785987810.550056,WARNING,,WARN db_p99=21ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,3.0,1785987811.050628,WARNING,,WARN db_p99=20ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,3.5,1785987811.5511365,WARNING,,WARN db_p99=25ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,4.0,1785987812.0521088,WARNING,,WARN db_p99=25ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,4.5,1785987812.5522847,WARNING,,WARN db_p99=33ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,5.0,1785987813.0525486,WARNING,,WARN db_p99=32ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,5.5,1785987813.5527363,WARNING,,WARN db_p99=21ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,6.0,1785987814.0528092,WARNING,,WARN db_p99=33ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,6.5,1785987814.5528538,WARNING,,WARN db_p99=23ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,7.0,1785987815.0529642,WARNING,,WARN db_p99=28ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,7.5,1785987815.5534701,WARNING,,WARN db_p99=38ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,8.0,1785987816.0537424,WARNING,,WARN db_p99=24ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,8.5,1785987816.5537925,WARNING,,WARN db_p99=27ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,9.0,1785987817.0542755,WARNING,,WARN db_p99=23ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,9.5,1785987817.5549674,WARNING,,WARN db_p99=35ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,10.0,1785987818.0566568,WARNING,,WARN db_p99=20ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,10.5,1785987818.5570965,WARNING,,WARN db_p99=52ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,11.0,1785987819.057586,WARNING,,WARN db_p99=35ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,11.5,1785987819.5579762,WARNING,,WARN db_p99=46ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,12.0,1785987820.0583448,WARNING,,WARN db_p99=43ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,12.5,1785987820.558576,WARNING,,WARN db_p99=24ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,13.0,1785987821.0587482,WARNING,,WARN db_p99=30ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,13.5,1785987821.56021,WARNING,,WARN db_p99=27ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,14.0,1785987822.062686,WARNING,,WARN db_p99=57ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,14.5,1785987822.5631223,WARNING,,WARN db_p99=40ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,15.0,1785987823.0636013,WARNING,,WARN db_p99=38ms -- slow query detected
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,15.5,1785987823.6175437,WARNING,,WARN db_p99=21ms -- slow query detected
