episode_id,failure_mode,service,elapsed_s,timestamp,log_level,exception_type,log_message
live_ep_000040_NONE,NONE,order-service,0.0,1785987769.1526551,INFO,,OK cpu=33% p99=130ms err=0.80%
live_ep_000040_NONE,NONE,order-service,0.1,1785987769.2527506,INFO,,OK cpu=32% p99=108ms err=0.19%
live_ep_000040_NONE,NONE,order-service,0.2,1785987769.3530433,INFO,,OK cpu=29% p99=94ms err=1.92%
live_ep_000040_NONE,NONE,order-service,0.3,1785987769.4533412,INFO,,OK cpu=41% p99=117ms err=1.10%
live_ep_000040_NONE,NONE,order-service,0.4,1785987769.5535483,INFO,,OK cpu=40% p99=117ms err=0.48%
live_ep_000040_NONE,NONE,order-service,0.5,1785987769.6537097,INFO,,OK cpu=35% p99=131ms err=1.00%
live_ep_000040_NONE,NONE,order-service,0.6,1785987769.7540228,INFO,,OK cpu=26% p99=110ms err=1.27%
live_ep_000040_NONE,NONE,order-service,0.7,1785987769.8543556,INFO,,OK cpu=29% p99=122ms err=1.80%
live_ep_000040_NONE,NONE,order-service,0.8,1785987769.9546025,INFO,,OK cpu=32% p99=122ms err=0.78%
live_ep_000040_NONE,NONE,order-service,0.9,1785987770.0549426,INFO,,OK cpu=39% p99=135ms err=0.65%
live_ep_000040_NONE,NONE,order-service,1.0,1785987770.155212,INFO,,OK cpu=34% p99=132ms err=0.11%
live_ep_000040_NONE,NONE,order-service,1.1,1785987770.2554452,INFO,,OK cpu=28% p99=124ms err=0.86%
live_ep_000040_NONE,NONE,order-service,1.2,1785987770.3559158,INFO,,OK cpu=39% p99=121ms err=0.76%
live_ep_000040_NONE,NONE,order-service,1.3,1785987770.4560673,INFO,,OK cpu=33% p99=111ms err=1.40%
live_ep_000040_NONE,NONE,order-service,1.4,1785987770.5564332,INFO,,OK cpu=34% p99=112ms err=1.51%
live_ep_000040_NONE,NONE,order-service,1.5,1785987770.6570158,INFO,,OK cpu=42% p99=135ms err=1.75%
live_ep_000040_NONE,NONE,order-service,1.6,1785987770.757176,INFO,,OK cpu=14% p99=149ms err=0.46%
live_ep_000040_NONE,NONE,order-service,1.7,1785987770.857567,INFO,,OK cpu=37% p99=108ms err=1.07%
live_ep_000040_NONE,NONE,order-service,1.8,1785987770.957613,INFO,,OK cpu=36% p99=97ms err=0.58%
live_ep_000040_NONE,NONE,order-service,1.9,1785987771.057805,INFO,,OK cpu=36% p99=127ms err=1.19%
live_ep_000040_NONE,NONE,order-service,2.0,1785987771.1580257,INFO,,OK cpu=40% p99=143ms err=0.92%
live_ep_000040_NONE,NONE,order-service,2.1,1785987771.2582917,INFO,,OK cpu=41% p99=118ms err=0.77%
live_ep_000040_NONE,NONE,order-service,2.2,1785987771.3584423,INFO,,OK cpu=38% p99=96ms err=1.14%
live_ep_000040_NONE,NONE,order-service,2.3,1785987771.4590378,INFO,,OK cpu=37% p99=122ms err=0.23%
live_ep_000040_NONE,NONE,order-service,2.4,1785987771.5595362,INFO,,OK cpu=33% p99=129ms err=0.65%
live_ep_000040_NONE,NONE,order-service,2.5,1785987771.659691,INFO,,OK cpu=48% p99=114ms err=1.14%
live_ep_000040_NONE,NONE,order-service,2.6,1785987771.7599263,INFO,,OK cpu=35% p99=104ms err=0.74%
live_ep_000040_NONE,NONE,order-service,2.7,1785987771.8602211,INFO,,OK cpu=40% p99=126ms err=1.71%
live_ep_000040_NONE,NONE,order-service,2.8,1785987771.9605343,INFO,,OK cpu=40% p99=140ms err=1.41%
live_ep_000040_NONE,NONE,order-service,2.9,1785987772.0612085,INFO,,OK cpu=38% p99=112ms err=0.70%
live_ep_000040_NONE,NONE,order-service,3.0,1785987772.1613998,INFO,,OK cpu=36% p99=104ms err=0.60%
live_ep_000040_NONE,NONE,order-service,3.1,1785987772.2615483,INFO,,OK cpu=42% p99=104ms err=0.76%
live_ep_000040_NONE,NONE,order-service,3.2,1785987772.361812,INFO,,OK cpu=35% p99=125ms err=1.08%
live_ep_000040_NONE,NONE,order-service,3.3,1785987772.4623494,INFO,,OK cpu=30% p99=102ms err=1.14%
live_ep_000040_NONE,NONE,order-service,3.4,1785987772.562836,INFO,,OK cpu=34% p99=116ms err=1.43%
live_ep_000040_NONE,NONE,order-service,3.5,1785987772.6631427,INFO,,OK cpu=35% p99=136ms err=1.13%
live_ep_000040_NONE,NONE,order-service,3.6,1785987772.7636762,INFO,,OK cpu=34% p99=141ms err=0.47%
live_ep_000040_NONE,NONE,order-service,3.7,1785987772.8642302,INFO,,OK cpu=40% p99=125ms err=0.55%
live_ep_000040_NONE,NONE,order-service,3.8,1785987772.964818,INFO,,OK cpu=27% p99=155ms err=0.99%
live_ep_000040_NONE,NONE,order-service,3.9,1785987773.065115,INFO,,OK cpu=25% p99=128ms err=0.33%
live_ep_000040_NONE,NONE,order-service,4.0,1785987773.1655757,INFO,,OK cpu=31% p99=142ms err=0.11%
live_ep_000040_NONE,NONE,order-service,4.1,1785987773.2662132,INFO,,OK cpu=36% p99=142ms err=1.97%
live_ep_000040_NONE,NONE,order-service,4.2,1785987773.366282,INFO,,OK cpu=35% p99=112ms err=1.28%
live_ep_000040_NONE,NONE,order-service,4.3,1785987773.4666703,INFO,,OK cpu=35% p99=115ms err=2.47%
live_ep_000040_NONE,NONE,order-service,4.4,1785987773.5670063,INFO,,OK cpu=33% p99=119ms err=0.87%
live_ep_000040_NONE,NONE,order-service,4.5,1785987773.6675096,INFO,,OK cpu=32% p99=133ms err=2.23%
live_ep_000040_NONE,NONE,order-service,4.6,1785987773.7676752,INFO,,OK cpu=30% p99=133ms err=0.66%
live_ep_000040_NONE,NONE,order-service,4.7,1785987773.8681428,INFO,,OK cpu=37% p99=143ms err=1.11%
live_ep_000040_NONE,NONE,order-service,4.8,1785987773.9682286,INFO,,OK cpu=45% p99=129ms err=0.51%
live_ep_000040_NONE,NONE,order-service,4.9,1785987774.068729,INFO,,OK cpu=37% p99=99ms err=0.92%
live_ep_000040_NONE,NONE,order-service,5.0,1785987774.169053,INFO,,OK cpu=29% p99=135ms err=1.35%
live_ep_000040_NONE,NONE,order-service,5.1,1785987774.2693074,INFO,,OK cpu=38% p99=127ms err=1.54%
live_ep_000040_NONE,NONE,order-service,5.2,1785987774.3696733,INFO,,OK cpu=33% p99=98ms err=2.19%
live_ep_000040_NONE,NONE,order-service,5.3,1785987774.4698443,INFO,,OK cpu=38% p99=146ms err=0.17%
live_ep_000040_NONE,NONE,order-service,5.4,1785987774.5701184,INFO,,OK cpu=40% p99=123ms err=0.06%
