episode_id,failure_mode,service,source,elapsed_s,timestamp,active_connections,cache_hit_rate,cache_miss_rate,circuit_breaker_state,cpu_saturation,cpu_utilization,db_connection_pool,db_connection_wait,db_p99,disk_read_latency,disk_write_latency,error_rate,gc_pause_p99,heap_mb,http_4xx_rate,http_5xx_rate,iops_utilization,memory_utilization,network_errors,p50_latency,p95_latency,p99_latency,queue_lag,retry_count_per_request,rps,thread_pool_queue,upstream_timeout_rate
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,python-simulator,0.0,1785922612.8270116,101,0.9464,0.0536,closed,0.3331,33.31,0.4778,11.47,12.5,5.86,3.09,0.0069,12.74,515.0,0.006,0.0029,0.2883,0.2648,1,84.98,95.59,114.93,11,0.0227,200.21,6,0.002
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,python-simulator,0.5,1785922613.327091,46,0.9717,0.0283,closed,0.4271,42.71,0.3383,1.53,27.95,4.7,6.14,0.013,9.28,512.7,0.0043,0.0085,0.3001,0.2743,2,83.83,85.01,89.38,3,0.0079,191.25,9,0.0022
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,python-simulator,1.0,1785922613.827685,27,0.9853,0.0147,closed,0.3207,32.07,0.4586,8.13,32.67,3.9,7.03,0.0052,17.61,510.9,0.0008,0.0018,0.1696,0.2236,1,106.38,108.97,118.43,15,0.0119,195.36,5,0.0074
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,python-simulator,1.5,1785922614.3282375,57,0.9567,0.0433,closed,0.4232,42.32,0.4176,9.54,26.64,3.34,5.62,0.0141,2.0,516.0,0.0162,0.0011,0.2833,0.3239,2,91.92,107.85,129.37,14,0.0196,204.02,13,0.0034
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,python-simulator,2.0,1785922614.8288693,115,0.9841,0.0159,closed,0.3843,38.43,0.3663,9.39,19.34,3.55,4.63,0.0136,6.08,500.7,0.0297,0.0009,0.3019,0.2747,1,100.41,101.13,101.96,17,0.0107,215.56,14,0.0019
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,python-simulator,2.5,1785922615.3293128,88,0.99,0.01,closed,0.2796,27.96,0.4361,1.65,22.03,7.04,4.5,0.0085,2.0,498.7,0.0109,0.0027,0.3385,0.3031,3,92.47,96.0,144.85,6,0.0105,215.45,3,0.0033
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,python-simulator,3.0,1785922615.8295898,37,0.99,0.01,closed,0.2701,27.01,0.3478,1.69,30.06,2.37,6.1,0.0216,7.57,516.5,0.0043,0.0062,0.2657,0.3094,4,93.01,108.86,130.51,7,0.0357,205.45,9,0.0079
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,python-simulator,3.5,1785922616.329957,51,0.99,0.01,closed,0.3039,30.39,0.3853,6.35,24.37,6.87,9.98,0.0058,4.43,499.3,0.001,0.0015,0.286,0.1915,1,95.71,129.38,132.96,13,0.0172,221.09,3,0.0096
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,python-simulator,4.0,1785922616.8301766,30,0.9738,0.0262,closed,0.4816,48.16,0.4185,0.5,13.77,5.96,3.85,0.006,11.38,508.8,0.0032,0.0017,0.1434,0.2768,0,87.33,97.8,101.33,6,0.037,228.14,4,0.0028
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,python-simulator,4.5,1785922617.3306072,71,0.9297,0.0703,closed,0.3742,37.42,0.2423,6.32,23.1,4.35,3.17,0.008,33.27,526.4,0.0151,0.0013,0.2808,0.2246,3,102.43,90.1,89.17,19,0.0167,212.87,12,0.0
